Day,Date,Igc,Iga,cumIgc,cumIga,H,ICU,D
1,7/31/2020,4,10,996,14191,99,17,1
2,8/1/2020,0,6,996,14197,94,15,1
3,8/2/2020,3,15,999,14212,94,14,0
4,8/3/2020,2,21,1001,14233,94,13,0
5,8/4/2020,1,20,1002,14253,94,13,0
6,8/5/2020,6,16,1008,14269,94,11,0
7,8/6/2020,3,12,1011,14281,93,10,1
8,8/7/2020,4,15,1015,14296,87,9,1
9,8/8/2020,3,12,1018,14308,87,11,0
10,8/9/2020,3,13,1021,14321,86,11,0
11,8/10/2020,4,21,1025,14342,87,11,0
12,8/11/2020,5,19,1030,14361,82,11,1
13,8/12/2020,4,20,1034,14381,80,10,0
14,8/13/2020,4,20,1038,14401,78,9,0
15,8/14/2020,2,13,1040,14414,77,8,0
16,8/15/2020,1,20,1041,14434,78,8,0
17,8/16/2020,6,20,1047,14454,79,8,0
18,8/17/2020,3,30,1050,14484,79,8,0
19,8/18/2020,7,26,1057,14510,83,6,0
20,8/19/2020,2,21,1059,14531,85,6,0
21,8/20/2020,2,22,1061,14553,85,6,0
22,8/21/2020,4,27,1065,14580,84,6,0
23,8/22/2020,8,32,1073,14612,82,6,0
24,8/23/2020,10,31,1083,14643,83,6,1
25,8/24/2020,9,25,1092,14668,80,6,1
26,8/25/2020,4,45,1096,14713,77,6,0
27,8/26/2020,3,34,1099,14747,77,6,0
28,8/27/2020,6,30,1105,14777,74,6,0
29,8/28/2020,7,33,1112,14810,70,5,0
30,8/29/2020,5,31,1117,14841,69,5,0
31,8/30/2020,7,37,1124,14878,68,5,0
32,8/31/2020,5,44,1129,14922,71,5,0
33,9/1/2020,9,47,1138,14969,75,6,0
34,9/2/2020,12,60,1150,15029,76,6,0
35,9/3/2020,9,60,1159,15089,74,6,0
36,9/4/2020,7,53,1166,15142,74,6,0
37,9/5/2020,8,51,1174,15193,73,7,0
38,9/6/2020,10,51,1184,15244,75,8,0
39,9/7/2020,8,71,1192,15315,76,8,0
40,9/8/2020,14,78,1206,15393,74,8,0
41,9/9/2020,14,91,1220,15484,76,9,0
42,9/10/2020,5,96,1225,15580,77,9,1
43,9/11/2020,19,89,1244,15669,80,9,0
44,9/12/2020,10,100,1254,15769,81,7,0
45,9/13/2020,13,105,1267,15874,80,9,1
46,9/14/2020,14,150,1281,16024,78,8,0
47,9/15/2020,19,174,1300,16198,79,9,0
48,9/16/2020,24,154,1324,16352,83,10,0
49,9/17/2020,32,150,1356,16502,91,9,0
50,9/18/2020,21,143,1377,16645,91,10,0
51,9/19/2020,28,161,1405,16806,92,12,0
52,9/20/2020,18,189,1423,16995,100,12,0
53,9/21/2020,38,225,1461,17220,106,12,0
54,9/22/2020,23,251,1484,17471,112,12,0
55,9/23/2020,27,234,1511,17705,118,13,0
56,9/24/2020,31,270,1542,17975,126,14,0
57,9/25/2020,37,246,1579,18221,133,14,1
58,9/26/2020,36,208,1615,18429,137,13,2
59,9/27/2020,30,224,1645,18653,143,15,1
60,9/28/2020,35,295,1680,18948,154,17,0
61,9/29/2020,38,271,1718,19219,173,19,3
62,9/30/2020,36,253,1754,19472,167,20,1
63,10/1/2020,30,205,1784,19677,175,20,0
64,10/2/2020,23,209,1807,19886,183,22,1
65,10/3/2020,32,182,1839,20068,178,22,4
66,10/4/2020,24,171,1863,20239,184,21,2
67,10/5/2020,38,231,1901,20470,192,23,1
68,10/6/2020,29,213,1930,20683,204,25,1
69,10/7/2020,33,234,1963,20917,211,26,3
70,10/8/2020,28,213,1991,21130,211,27,5
71,10/9/2020,35,236,2026,21366,211,28,6
72,10/10/2020,35,233,2061,21599,200,25,4
73,10/11/2020,36,203,2097,21802,204,24,1
74,10/12/2020,39,204,2136,22006,209,26,3
75,10/13/2020,38,241,2174,22247,219,30,2
76,10/14/2020,45,250,2219,22497,214,31,0
77,10/15/2020,37,253,2256,22750,222,32,1
78,10/16/2020,44,240,2300,22990,226,32,4
79,10/17/2020,32,235,2332,23225,232,34,2
80,10/18/2020,28,237,2360,23462,244,36,2
81,10/19/2020,56,321,2416,23783,259,37,6
82,10/20/2020,48,275,2464,24058,261,37,0
83,10/21/2020,48,270,2512,24328,265,39,4
84,10/22/2020,53,302,2565,24630,266,38,6
85,10/23/2020,37,291,2602,24921,267,37,4
86,10/24/2020,37,230,2639,25151,261,40,3
87,10/25/2020,48,223,2687,25374,269,41,2
88,10/26/2020,41,320,2728,25694,275,43,5
89,10/27/2020,38,274,2766,25968,279,42,2
90,10/28/2020,58,293,2824,26261,276,44,7
91,10/29/2020,49,237,2873,26498,282,44,6
92,10/30/2020,48,267,2921,26765,291,43,5
93,10/31/2020,52,262,2973,27027,294,43,7
94,11/1/2020,41,265,3014,27292,295,40,3
95,11/2/2020,73,448,3087,27740,299,41,6
96,11/3/2020,66,448,3153,28188,286,42,6
97,11/4/2020,60,444,3213,28632,280,44,7
98,11/5/2020,79,432,3292,29064,289,46,5
99,11/6/2020,59,437,3351,29501,292,46,3
100,11/7/2020,63,378,3414,29879,289,48,12
101,11/8/2020,56,328,3470,30207,292,47,9
102,11/9/2020,65,484,3535,30691,307,48,8
103,11/10/2020,76,406,3611,31097,310,51,14
104,11/11/2020,79,401,3690,31498,321,53,10
105,11/12/2020,61,366,3751,31864,326,53,9
106,11/13/2020,73,411,3824,32275,335,55,10
107,11/14/2020,55,361,3879,32636,351,54,12
108,11/15/2020,60,355,3939,32991,354,58,7
109,11/16/2020,74,435,4013,33426,369,57,9
110,11/17/2020,79,443,4092,33869,372,60,5
111,11/18/2020,72,437,4164,34306,372,60,10
112,11/19/2020,78,439,4242,34745,385,62,10
113,11/20/2020,73,444,4315,35189,387,59,9
114,11/21/2020,60,406,4375,35595,377,58,8
115,11/22/2020,56,374,4431,35969,379,59,6
116,11/23/2020,80,564,4511,36533,397,62,12
